english_name	german_name	german_search_aliases	polish_name	polish_search_aliases
Egg, whole, raw	Ei, roh	Hühnerei; Eier	Jajko, surowe	jaja; jajka; jajo
Egg white, raw	Eiklar, roh	Eiweiß	Białko jaja	białka jaj; białko jajka
Egg yolk, raw	Eigelb, roh	Dotter	Żółtko jaja	żółtka
Milk, whole (3.25%)	Vollmilch	Milch 3,5%; Milch	Mleko pełnotłuste	mleko 3,2%; mleko
Milk, skim	Magermilch	fettarme Milch; Milch 0,1%	Mleko odtłuszczone	mleko chude; mleko 0%
Greek yogurt, plain, nonfat	Griechischer Joghurt, fettfrei	griechischer Joghurt 0%	Jogurt grecki, odtłuszczony	jogurt grecki 0%
Greek yogurt, plain, whole	Griechischer Joghurt, Vollmilch	griechischer Joghurt	Jogurt grecki, pełnotłusty	jogurt grecki
Skyr, plain	Skyr		Skyr
Yogurt, plain, whole milk	Naturjoghurt, Vollmilch	Joghurt natur; Joghurt	Jogurt naturalny, pełnotłusty	jogurt naturalny; jogurt
Kefir, plain, lowfat	Kefir, fettarm	Kefir	Kefir, niskotłuszczowy	kefir
Cottage cheese, 2%	Hüttenkäse, 2%	körniger Frischkäse	Serek wiejski, 2%	twarożek ziarnisty; serek wiejski
Cottage cheese, 4%	Hüttenkäse, 4%	körniger Frischkäse	Serek wiejski, 4%	twarożek ziarnisty
Quark, plain, low fat	Magerquark	Quark; Speisequark	Twaróg chudy	twaróg; ser biały
Ricotta, part skim	Ricotta, teilentrahmt	Ricotta	Ricotta, półtłusta	ricotta
Cheddar cheese	Cheddar	Cheddarkäse	Cheddar	ser cheddar
Mozzarella, part skim	Mozzarella, teilentrahmt	Mozzarella	Mozzarella, półtłusta	mozzarella; ser mozzarella
Mozzarella, whole milk	Mozzarella, Vollmilch	Büffelmozzarella	Mozzarella, pełnotłusta	mozzarella
Parmesan, hard	Parmesan	Hartkäse; Parmigiano	Parmezan	ser parmezan
Swiss cheese	Emmentaler	Schweizer Käse	Ser szwajcarski	ementaler; ser żółty
Gouda cheese	Gouda	Goudakäse	Gouda	ser gouda; gauda
Feta cheese	Feta	Schafskäse	Feta	ser feta
Halloumi	Halloumi	Grillkäse	Halloumi	ser halloumi
Goat cheese, soft	Ziegenkäse, weich	Ziegenfrischkäse	Ser kozi, miękki	ser kozi
Cream cheese	Frischkäse	Doppelrahmfrischkäse	Serek śmietankowy	serek kremowy; philadelphia
Chicken breast, skinless, raw	Hähnchenbrust, roh	Hühnerbrust; Hähnchen; Hühnchen	Pierś z kurczaka, surowa	kurczak; pierś kurczaka; filet z kurczaka
Chicken breast, skinless, cooked	Hähnchenbrust, gegart	Hähnchenbrust gegrillt; Hühnerbrust; Hähnchen	Pierś z kurczaka, gotowana	kurczak grillowany; pierś kurczaka; kurczak
Chicken thigh, skinless, cooked	Hähnchenschenkel, gegart	Hühnerschenkel; Oberschenkel	Udko z kurczaka, gotowane	udko kurczaka; udziec
Chicken, rotisserie, breast meat	Brathähnchen, Brustfleisch	Grillhähnchen; Hähnchen vom Grill	Kurczak z rożna, pierś	kurczak pieczony; kurczak z grilla
Turkey breast, raw	Putenbrust, roh	Truthahnbrust; Pute	Pierś z indyka, surowa	indyk; filet z indyka
Turkey breast, cooked	Putenbrust, gegart	Pute gebraten	Pierś z indyka, gotowana	indyk pieczony
Turkey, deli slices	Putenaufschnitt	Putenbrust Aufschnitt; Wurst	Wędlina z indyka	indyk w plastrach; szynka z indyka
